league,season,game,team,player,is_home,position,formation_place,sub_in,sub_out,appearances,fouls_committed,fouls_suffered,own_goals,red_cards,sub_ins,yellow_cards,goals_conceded,shots_faced,goal_assists,offsides,shots_on_target,total_goals,total_shots,saves
GER-Bundesliga,2324,2023-08-18 Werder Bremen-Bayern Munich,Bayern Munich,Sven Ulreich,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-08-18 Werder Bremen-Bayern Munich,Werder Bremen,Jirí Pavlenka,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19.0,0.0,,0.0,0.0,0.0,6.0
GER-Bundesliga,2324,2023-08-19 Bayer Leverkusen-RB Leipzig,Bayer Leverkusen,Lukas Hradecky,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-08-19 Bayer Leverkusen-RB Leipzig,RB Leipzig,Janis Blaswich,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-08-19 Borussia Dortmund-FC Cologne,Borussia Dortmund,Gregor Kobel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,,0.0,0.0,0.0,4.0
GER-Bundesliga,2324,2023-08-19 Borussia Dortmund-FC Cologne,FC Cologne,Marvin Schwäbe,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-08-19 FC Augsburg-Borussia Mönchengladbach,Borussia Mönchengladbach,Jonas Omlin,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,16.0,1.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-08-19 FC Augsburg-Borussia Mönchengladbach,FC Augsburg,Finn Dahmen,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,,0.0,0.0,0.0,1.0
GER-Bundesliga,2324,2023-08-19 TSG Hoffenheim-SC Freiburg,SC Freiburg,Noah Atubolu,False,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,0.0,,0.0,0.0,0.0,3.0
GER-Bundesliga,2324,2023-08-19 TSG Hoffenheim-SC Freiburg,TSG Hoffenheim,Oliver Baumann,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,,0.0,0.0,0.0,6.0
GER-Bundesliga,2324,2023-08-19 VfB Stuttgart-VfL Bochum,VfB Stuttgart,Alexander Nübel,True,Goalkeeper,1,start,end,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,0.0,0.0,0.0,1.0
