keeper,height_cm
Aaron Ramsdale,190.0
Aarón Escandell,186.0
Abdoulaye Diallo,191.0
Adam Federici,188.0
Adrian Semper,194.0
Adrià Ortolá,187.0
Adrián,
Adrián Rodríguez,195.0
Agustín Marchesín,188.0
Aitor Fernández,182.0
Alaa Bellarouch,189.0
Alban Lafont,196.0
Albano Bizzarri,188.0
Alberto Brignoli,188.0
Alberto García,182.0
Alberto Paleari,193.0
Alberto Pelagotti,186.0
Aleksandar Jovanovic,191.0
Alen Sherri,197.0
Alessandro Russo,193.0
Alessandro Sorrentino,190.0
Alessio Cragno,184.0
Alessio Furlanetto,191.0
Alex Cordaz,188.0
Alex McCarthy,193.0
Alex Meret,190.0
Alex Palmer,191.0
Alexander Brunst-Zöllner,195.0
Alexander Meyer,195.0
Alexander Nübel,193.0
Alexander Schwolow,190.0
Alexandre Letellier,193.0
Alexandre Olliero,193.0
Alexandre Oukidja,184.0
Alexis Thébaux,185.0
Alfred Gomis,196.0
Alisson Becker,193.0
Alphonse Areola,195.0
Altay Bayindir,198.0
Andrea Consigli,189.0
Andrea Fulignati,190.0
Andrea Seculin,190.0
Andreas Luthe,195.0
Andrei Radu,
Andrey Lunev,190.0
Andriy Lunin,191.0
André Ferreira,193.0
André Onana,190.0
Andrés Fernández,185.0
Andrés Prieto,
Angelo da Costa,186.0
Angus Gunn,196.0
Anthony Lopes,184.0
Anthony Maisonnial,188.0
Anthony Racioppi,189.0
Antonio Adán,190.0
Antonio Mirante,193.0
Antonio Rosati,195.0
Antonio Santurro,192.0
Antonio Sivera,185.0
Antonín Kinsky,190.0
Arijanet Muric,198.0
Arnau Rafús,190.0
Arnau Tenas,185.0
Arnaud Bodart,186.0
Arthur Desmas,196.0
Artur Boruc,193.0
Asier Riesgo,185.0
Asmir Begovic,199.0
Augusto Batalla,185.0
Axel Werner,191.0
Baptiste Reynet,185.0
Bart Verbruggen,194.0
Bartlomiej Dragowski,191.0
Ben Foster,193.0
Ben Hamer,193.0
Ben Voll,195.0
Benjamin Lecomte,186.0
Benjamin Leroy,184.0
Benjamin Siegrist,196.0
Benoit Costil,188.0
Berke Özer,191.0
Bernd Leno,190.0
Bingourou Kamara,195.0
Boaz Myhill,191.0
Bobby Allain,185.0
Boris Radunovic,194.0
Brad Guzan,193.0
Brandon Austin,188.0
Brice Samba,187.0
