league,season,game,team,player,league_id,season_id,game_id,date,shot_id,team_id,player_id,assist_player_id,assist_player,xg,location_x,location_y,minute,body_part,situation,result
ENG-Premier League,1617,2016-08-13 Hull-Leicester,Leicester,Riyad Mahrez,1,2016,461,2016-08-13 15:30:00,112252,75,750,,,0.7611690163612366,0.885,0.5,46,Left Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-13 Manchester City-Sunderland,Manchester City,Sergio Agüero,1,2016,467,2016-08-13 20:30:00,112269,88,619,,,0.7611690163612366,0.885,0.5,3,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-14 Arsenal-Liverpool,Arsenal,Theo Walcott,1,2016,469,2016-08-14 19:00:00,112095,83,503,,,0.7611690163612366,0.885,0.5,29,Right Foot,Penalty,Saved Shot
ENG-Premier League,1617,2016-08-15 Chelsea-West Ham,Chelsea,Eden Hazard,1,2016,470,2016-08-15 23:00:00,112169,80,701,,,0.7611690163612366,0.885,0.5,46,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-19 Manchester United-Southampton,Manchester United,Zlatan Ibrahimovic,1,2016,471,2016-08-19 23:00:00,112681,89,1741,,,0.7611690163612366,0.885,0.5,51,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-20 Stoke-Manchester City,Manchester City,Sergio Agüero,1,2016,472,2016-08-20 15:30:00,112700,88,619,,,0.7611690163612366,0.885,0.5,26,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-20 Stoke-Manchester City,Stoke,Bojan,1,2016,472,2016-08-20 15:30:00,112707,85,871,,,0.7611690163612366,0.885,0.5,48,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-27 Crystal Palace-Bournemouth,Crystal Palace,Yohan Cabaye,1,2016,486,2016-08-27 18:00:00,112901,78,516,,,0.7611690163612366,0.885,0.5,15,Right Foot,Penalty,Saved Shot
ENG-Premier League,1617,2016-08-27 Everton-Stoke,Everton,Leighton Baines,1,2016,487,2016-08-27 18:00:00,112950,72,588,,,0.7611690163612366,0.885,0.5,50,Left Foot,Penalty,Saved Shot
ENG-Premier League,1617,2016-08-27 Leicester-Swansea,Leicester,Riyad Mahrez,1,2016,483,2016-08-27 18:00:00,113012,75,750,,,0.7611690163612366,0.885,0.5,55,Left Foot,Penalty,Saved Shot
ENG-Premier League,1617,2016-08-27 Southampton-Sunderland,Sunderland,Jermain Defoe,1,2016,484,2016-08-27 18:00:00,113068,77,735,,,0.7611690163612366,0.885,0.5,79,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-27 Tottenham-Liverpool,Liverpool,James Milner,1,2016,481,2016-08-27 15:30:00,113084,87,489,,,0.7611690163612366,0.885,0.5,42,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-08-27 Watford-Arsenal,Arsenal,Santiago Cazorla,1,2016,482,2016-08-27 18:00:00,113099,83,965,,,0.7611690163612366,0.885,0.5,8,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-09-10 Arsenal-Southampton,Arsenal,Santiago Cazorla,1,2016,494,2016-09-10 18:00:00,113170,83,965,,,0.7611690163612366,0.885,0.5,93,Right Foot,Penalty,Goal
ENG-Premier League,1617,2016-09-10 Manchester United-Manchester City,Manchester City,Fernandinho,1,2016,491,2016-09-10 15:30:00,113272,88,614,126098.0,Kevin De Bruyne,0.0316550992429256,0.879000015258789,0.505,72,,Penalty,Saved Shot
ENG-Premier League,1617,2016-09-11 Swansea-Chelsea,Swansea,Gylfi Sigurdsson,1,2016,499,2016-09-11 19:00:00,113393,84,714,,,0.7611690163612366,0.885,0.5,58,Right Foot,Penalty,Goal
